                              DODANGASLANDA           
                              LAT:  7.57N    LON: 80.53E    ELEV:  165.0M
                              Precip, daily   
                              Millimeters         
Date,Precip
2008-10-05,13.2
2008-10-06,.0
2008-10-07,1.2
2008-10-08,26.8
2008-10-09,40.5
2008-10-10,.0
2008-10-11,14.7
2008-10-12,22.4
2008-10-13,11.1
2008-10-14,33.4
2008-10-15,10.6
2008-10-16,1.9
2008-10-17,.0
2008-10-18,.0
2008-10-19,2.2
2008-10-20,2.6
2008-10-21,16.4
2008-10-22,6.8
2008-10-23,21.9
2008-10-24,46.4
2008-10-25,17.2
2008-10-26,22.3
2008-10-27,.0
2008-10-28,.0
2008-10-29,.0
2008-10-30,.0
2008-10-31,.0
2008-11-01,-9.9
2008-11-02,-9.9
2008-11-03,-9.9
2008-11-04,-9.9
2008-11-05,-9.9
2008-11-06,-9.9
2008-11-07,-9.9
2008-11-08,-9.9
2008-11-09,-9.9
2008-11-10,-9.9
2008-11-11,-9.9
2008-11-12,-9.9
2008-11-13,-9.9
2008-11-14,-9.9
2008-11-15,-9.9
2008-11-16,-9.9
2008-11-17,-9.9
2008-11-18,-9.9
2008-11-19,-9.9
2008-11-20,-9.9
2008-11-21,-9.9
2008-11-22,-9.9
2008-11-23,-9.9
2008-11-24,-9.9
2008-11-25,-9.9
2008-11-26,-9.9
2008-11-27,-9.9
2008-11-28,-9.9
2008-11-29,-9.9
2008-11-30,-9.9
2008-12-01,-9.9
2008-12-02,-9.9
2008-12-03,-9.9
2008-12-04,-9.9
2008-12-05,-9.9
2008-12-06,-9.9
2008-12-07,-9.9
2008-12-08,-9.9
2008-12-09,-9.9
2008-12-10,-9.9
2008-12-11,-9.9
2008-12-12,-9.9
2008-12-13,-9.9
2008-12-14,-9.9
2008-12-15,-9.9
2008-12-16,-9.9
2008-12-17,-9.9
2008-12-18,-9.9
2008-12-19,-9.9
2008-12-20,-9.9
2008-12-21,-9.9
2008-12-22,-9.9
2008-12-23,-9.9
2008-12-24,-9.9
2008-12-25,-9.9
2008-12-26,-9.9
2008-12-27,-9.9
2008-12-28,-9.9
2008-12-29,-9.9
2008-12-30,-9.9
2008-12-31,-9.9
2009-01-01,.0
2009-01-02,.0
2009-01-03,.0
2009-01-04,.0
2009-01-05,.0
2009-01-06,.0
2009-01-07,.0
2009-01-08,11.9
2009-01-09,3.6
2009-01-10,.0
2009-01-11,.0
2009-01-12,.0
2009-01-13,.0
2009-01-14,10.7
2009-01-15,.0
2009-01-16,.0
2009-01-17,.0
2009-01-18,.0
2009-01-19,.0
2009-01-20,.0
2009-01-21,.0
2009-01-22,.0
2009-01-23,.0
2009-01-24,.0
2009-01-25,9.1
2009-01-26,.0
2009-01-27,.0
2009-01-28,.0
2009-01-29,.0
2009-01-30,.0
2009-01-31,.0
2009-02-01,-9.9
2009-02-02,-9.9
2009-02-03,-9.9
2009-02-04,-9.9
2009-02-05,-9.9
2009-02-06,-9.9
2009-02-07,-9.9
2009-02-08,-9.9
2009-02-09,-9.9
2009-02-10,-9.9
2009-02-11,-9.9
2009-02-12,-9.9
2009-02-13,-9.9
2009-02-14,-9.9
2009-02-15,-9.9
2009-02-16,-9.9
2009-02-17,-9.9
2009-02-18,-9.9
2009-02-19,-9.9
2009-02-20,-9.9
2009-02-21,-9.9
2009-02-22,-9.9
2009-02-23,-9.9
2009-02-24,-9.9
2009-02-25,-9.9
2009-02-26,-9.9
2009-02-27,-9.9
2009-02-28,-9.9
2009-03-01,.0
2009-03-02,.0
2009-03-03,.0
2009-03-04,.0
2009-03-05,.0
2009-03-06,.0
2009-03-07,.0
2009-03-08,1.5
2009-03-09,.0
2009-03-10,2.8
2009-03-11,6.8
2009-03-12,.0
2009-03-13,1.8
2009-03-14,.5
2009-03-15,.0
2009-03-16,3.1
2009-03-17,.0
2009-03-18,.0
2009-03-19,.0
2009-03-20,.0
2009-03-21,.0
2009-03-22,.0
2009-03-23,.0
2009-03-24,.0
2009-03-25,2.4
2009-03-26,4.8
2009-03-27,4.0
